State,County,Year,Poverty Rate
Minnesota,Rice County,2011,8.7
Minnesota,Rice County,2010,8.5
Minnesota,Rice County,2009,7.6
Minnesota,Rock County,2018,9.7
Minnesota,Rock County,2017,11.0
Minnesota,Rock County,2016,10.7
Minnesota,Rock County,2015,11.4
Minnesota,Rock County,2014,11.4
Minnesota,Rock County,2013,11.4
Minnesota,Rock County,2012,11.9
Minnesota,Rock County,2011,11.9
Minnesota,Rock County,2010,11.9
Minnesota,Rock County,2009,11.9
Minnesota,Roseau County,2018,9.8
Minnesota,Roseau County,2017,9.2
Minnesota,Roseau County,2016,8.4
Minnesota,Roseau County,2015,10.7
Minnesota,Roseau County,2014,10.7
Minnesota,Roseau County,2013,8.9
Minnesota,Roseau County,2012,10.4
Minnesota,Roseau County,2011,10.4
Minnesota,Roseau County,2010,10.4
Minnesota,Roseau County,2009,10.4
Minnesota,Scott County,2018,5.8
Minnesota,Scott County,2017,5.6
Minnesota,Scott County,2016,5.7
Minnesota,Scott County,2015,5.7
Minnesota,Scott County,2014,5.7
Minnesota,Scott County,2013,5.5
Minnesota,Scott County,2012,5.2
Minnesota,Scott County,2011,5.2
Minnesota,Scott County,2010,5.2
Minnesota,Scott County,2009,5.2
Minnesota,Sherburne County,2018,7.1
Minnesota,Sherburne County,2017,6.4
Minnesota,Sherburne County,2016,7.2
Minnesota,Sherburne County,2015,7.9
Minnesota,Sherburne County,2014,7.9
Minnesota,Sherburne County,2013,5.5
Minnesota,Sherburne County,2012,8.0
Minnesota,Sherburne County,2011,8.0
Minnesota,Sherburne County,2010,8.0
Minnesota,Sherburne County,2009,8.0
Minnesota,Sibley County,2018,7.1
Minnesota,Sibley County,2017,8.6
Minnesota,Sibley County,2016,9.8
Minnesota,Sibley County,2015,10.7
Minnesota,Sibley County,2014,10.7
Minnesota,Sibley County,2013,11.8
Minnesota,Sibley County,2012,12.7
Minnesota,Sibley County,2011,12.7
Minnesota,Sibley County,2010,12.7
Minnesota,Sibley County,2009,12.7
Minnesota,St. Louis County,2018,15.0
Minnesota,St. Louis County,2017,15.4
Minnesota,St. Louis County,2016,15.5
Minnesota,St. Louis County,2015,16.0
Minnesota,St. Louis County,2014,16.0
Minnesota,St. Louis County,2013,16.4
Minnesota,St. Louis County,2012,16.1
Minnesota,St. Louis County,2011,16.1
